id_studenta	imię	nazwisko	id_uczelnia	miejsce_zam	rok_studiow	dochod_na_osobe
701	Beata	Stan	2	Aleksandrow Kujawski	I	2033
1346	Jan	Witaj	5	Aleksandrow Kujawski	I	400
626	Helena	Gawlicz	5	Aleksandrow Kujawski	I	2349
449	Konstanty	Banasikowski	2	Alwernia	I	2568
924	Pawel	Banasiak	2	Alwernia	I	3317
1164	Michal	Kupiec	5	Alwernia	II	936
1569	Karina	Urban	5	Alwernia	II	1392
288	Daria	Dyrbusz	5	Alwernia	I	1779
1488	Ewelina	Chojna	7	Alwernia	I	355
1156	Tomasz	Gates	8	Alwernia	II	1421
602	Ewa	Barek	9	Alwernia	I	2880
379	Wioletta	Kucharska	3	Baborow	II	1209
468	Barbara	Olszewska	5	Baborow	IV	1528
821	Joanna	Bycz	5	Baborow	III	1555
1107	Maria	Chojnacka	4	Barlinek	I	1239
1198	Alicja	Kwasniak	3	Barwinek	V	1860
1018	Anna	Ludwin	5	Barwinek	IV	2514
11	Przemyslaw	Planeta	1	Bedzin	V	444
206	Malgorzata	Stojecka	1	Bedzin	I	2932
1583	Janusz	Kmicic	2	Bedzin	I	1121
688	Magdalena	Nadarzyn	2	Bedzin	I	1880
213	Beata	Kowalczyk	2	Bedzin	V	2191
1169	Julia	Adamiak	2	Bedzin	I	2254
1508	Michal	Kowalski	2	Bedzin	V	2706
1218	Alicja	Strojna	2	Bedzin	I	2838
657	Marcin	Bienkowski	2	Bedzin	I	3025
1351	Jerzy	Banan	3	Bedzin	I	1463
64	Boguslawa	Keta	3	Bedzin	II	3013
242	Adam	Witczak	5	Bedzin	III	735
989	Henryk	Walczak	5	Bedzin	II	923
877	Maria	Baron	5	Bedzin	I	1112
72	Danuta	Wojciechowska	5	Bedzin	V	1298
481	Celina	Krotoszyn	5	Bedzin	III	3139
307	Mateusz	Kandora	5	Bedzin	I	3218
994	Roman	Buszek	5	Bezledy	II	771
669	Alicja	Barczynska	5	Bezledy	I	2679
949	Wojciech	Iwanski	7	Bezledy	II	2580
53	Gabriela	Kawka	9	Bezledy	II	2273
1574	Karol	Wiercioch	2	Biala Podlaska	III	1875
489	Karina	Kwiatkowska	2	Biala Podlaska	IV	2751
744	Natasza	Rudnicka	5	Biala Podlaska	III	1178
629	Marek	Nosowski	2	Bialaszewo	I	486
853	Ewelina	Ambroziak	3	Bialaszewo	I	2891
1348	Joanna	Wasowicz	5	Bialaszewo	I	757
767	Edyta	Kurdzielewicz	2	Bialystok	I	2710
1511	Aleksy	Domagalik	4	Bialystok	II	1749
191	Arkadiusz	Godowski	5	Bialystok	II	1845
1122	Aleksy	Rebacz	5	Bialystok	I	2784
954	Mateusz	Kawicki	2	Bielsk Podlaski	I	3253
1055	Ewa	Baranicz	3	Bielsk Podlaski	I	2580
1573	Irena	Calka	5	Bielsk Podlaski	I	3103
645	Katarzyna	Kwiecien	2	Bielsko - Biala	II	772
399	Seweryna	Kotek	2	Bielsko - Biala	II	949
1285	Izabella	Wlodarczak	2	Bielsko - Biala	I	1069
815	Anastazja	Majewska	2	Bielsko - Biala	II	1476
971	Anna	Szafranska	2	Bielsko - Biala	I	1671
102	Stefan	Biegajski	2	Bielsko - Biala	II	1837
78	Karina	Wozniak	2	Bielsko - Biala	V	2485
991	Wieslaw	Bananowski	2	Bielsko - Biala	II	2930
507	Wanda	Szalobryt	3	Bielsko - Biala	II	701
285	Tomasz	Leganowski	3	Bielsko - Biala	IV	2018
1366	Halina	Bajerek	3	Bielsko - Biala	I	2047
753	Katarzyna	Biedka	3	Bielsko - Biala	I	2705
1442	Adam	Lewik	3	Bielsko - Biala	IV	2728
1379	Boguslawa	Sawicka	4	Bielsko - Biala	V	2168
315	Piotr	Kacprzak	5	Bielsko - Biala	I	983
1536	Wiktor	Buczkowski	5	Bielsko - Biala	II	1267
214	Bartlomiej	Stec	5	Bielsko - Biala	I	1453
550	Edward	Bebanek	5	Bielsko - Biala	I	1580
1299	Dorota	Boszcz	5	Bielsko - Biala	I	2162
858	Eustachy	Kendziora	5	Bielsko - Biala	IV	2414
501	Janusz	Bokowski	7	Bielsko - Biala	I	2891
958	Jan	Kamyk	8	Bielsko - Biala	I	2899
542	Marcin	Grabysz	9	Bielsko - Biala	I	2125
1388	Szymon	Kulik	1	Bochnia	I	834
908	Wojciech	Batory	1	Bochnia	II	1442
1278	Marcin	Bydgoski	2	Bochnia	I	578
1506	Boguslawa	Kowalska	2	Bochnia	III	2453
1584	Cezar	Pawlak	3	Bochnia	I	1693
297	Tomasz	Wan	5	Bochnia	II	1258
1343	Adam	Piotrowski	9	Bochnia	V	3121
902	Jakub	Malarski	2	Bozewo	IV	2104
1226	Anna	Kaminska	3	Bozewo	IV	1960
405	Urszula	Sielecka	5	Bozewo	II	435
670	Ewelina	Kobus	2	Bransk	I	811
143	Juliusz	Blazowski	2	Bransk	IV	3144
