Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
1;Jadwiga;Baranowska;Uniwersytet Królewski;Krosno 80-338;I;2382
2;Zofia;Chorzowska;Akademia Sztuk Piêknych;Pu³awy 66-219;II;1549
3;Katarzyna;Bilska;Uniwersytet Królewski;Lubliniec 14-322;I;3037
4;Michal;Rada;Politechnika Królewska;G³ucho³azy 30-136;II;1712
5;Pawel;Milek;Politechnika Informatyczno-Elektroniczna;Koniaków 34-607;IV;1459
6;Marcin;Biernat;Politechnika Królewska;Kogutek 99-754;I;931
7;Gracja;Bijakowska;Politechnika Informatyczno-Elektroniczna;Racibórz 00-355;V;1482
8;Wojciech;Zaluski;Politechnika Królewska;Jejkowice 67-738;II;2141
9;Martyn;Kowalski;Uniwersytet Królewski;Miko³ów 96-497;V;2713
10;Jolanta;Ochala;Uniwersytet Królewski;Rybnik 24-983;V;3332
11;Przemyslaw;Planeta;Akademia Sztuk Piêknych;Bêdzin 69-501;V;444
12;Barbara;Michalska;Politechnika Królewska;Ruda Sl¹ska 12-684;I;2368
13;Kamil;Berakacz;Politechnika Informatyczno-Elektroniczna;Krapkowice 94-560;I;1765
14;Teresa;Kuc;Uniwersytet Królewski;Jaworzno 98-650;II;2602
15;Matylda;Zielinska;Uniwersytet Sportu i Turystyki;Wis³a 99-436;I;2949
16;Wieslawa;Babiarz;Uniwersytet Królewski;Oœwiêcim 27-702;II;1576
17;Natalia;Barton;Wy¿sza Szko³a Techniczna;Sosnowiec 14-721;I;409
18;Alojzy;Wolak;Uniwersytet Sportu i Turystyki;Rybnik 24-983;IV;1767
19;Daniel;Lisiecki;Uniwersytet Królewski;Szczyrk 75-361;I;1867
20;Adam;Bzinkowski;Politechnika Królewska;Rzeszów 89-735;I;782
21;Andrzej;Tokarski;Uniwersytet Królewski;Piotrków Trybunalski 04-419;I;2580
22;Gabriela;Kolska;Uniwersytet Królewski;Mys³owice 13-220;I;1111
23;Bogumila;Kolodziej;Uniwersytet Królewski;Nowy Targ 84-043;II;630
24;Augustyna;Swierkowska;Uniwersytet Sportu i Turystyki;Rajcza 18-286;IV;1489
25;Tomasz;Tutaj;Politechnika Informatyczno-Elektroniczna;Chy¿ne 76-235;II;3079
26;Sylwester;Jarecki;Uniwersytet Muzyczny;Sanok 71-890;IV;3222
27;Antoni;Banakiewicz;Politechnika Królewska;Wis³a 99-436;I;1003
28;Piotr;Skiba;Politechnika Królewska;Limanowa 65-385;III;2917
29;Lidia;Kazdron;Politechnika Królewska;Wojkowice 84-273;III;2646
30;Karol;Krol;Uniwersytet Pedagogiczny;Brzesko 96-703;I;365
31;Beata;Kotlarska;Politechnika Królewska;Soœnicowice 15-658;I;1638
32;Jan;Tyranowski;Uniwersytet Królewski;Katowice 72-241;III;3333
33;Celina;Koral;Politechnika Królewska;Giera³towice 04-834;V;1242
34;Jacek;Witebski;Uniwersytet Królewski;Czêstochowa 86-116;I;1168
35;Karol;Kedzierski;Politechnika Królewska;£om¿a 22-623;III;1374
36;Bartosz;Samek;Politechnika Informatyczno-Elektroniczna;Koniaków 34-607;I;543
37;Natalia;Goral;Politechnika Królewska;Mys³owice 13-220;I;1947
